Date,En_Date,Max_Ex_Date,Expiry,Spot_En_Price,Atm_Strike,CE_Strike,PE_Strike,CE_Entry,PE_Entry,Entry_Straddle,CE_Exit,PE_Exit,Total_Returns,CE_Ex_Tick,PE_Ex_Tick,Ce_SL_Hit,Pe_SL_Hit,pnl,Daily_Return
02-01-2025,02-01-2025 10:30,02-01-2025 15:10,02-01-2025,23871.45,23900,23900,23900,88.85,104.9,193.75,159.93,0.25,0.197616778,02-01-2025 12:25,02-01-2025 15:10,TRUE,FALSE,8.892755005,8.892755005
03-01-2025,03-01-2025 10:30,03-01-2025 15:10,09-01-2025,24044.65,24000,24000,24000,182.85,156.05,338.9,161.1,150.7,0.153233842,03-01-2025 15:10,03-01-2025 15:10,FALSE,FALSE,6.895522906,6.895522906
06-01-2025,06-01-2025 10:30,06-01-2025 15:10,09-01-2025,23961.45,24000,24000,24000,129.8,181,310.8,59,325.8,-0.254545455,06-01-2025 15:10,06-01-2025 11:11,FALSE,TRUE,-11.45454545,-11.45454545
07-01-2025,07-01-2025 10:30,07-01-2025 15:10,09-01-2025,23750.25,23800,23800,23800,117.15,161.55,278.7,79.6,167.8,0.281841523,07-01-2025 15:10,07-01-2025 15:10,FALSE,FALSE,12.68286855,12.68286855
08-01-2025,08-01-2025 10:30,08-01-2025 15:10,09-01-2025,23602.45,23600,23600,23600,85.15,87.2,172.35,153.27,32.25,-0.16983945,08-01-2025 14:15,08-01-2025 15:10,TRUE,FALSE,-7.642775229,-7.642775229
09-01-2025,09-01-2025 10:30,09-01-2025 15:10,09-01-2025,23613.95,23600,23600,23600,37,28.55,65.55,0.1,51.39,0.197297297,09-01-2025 15:10,09-01-2025 10:47,FALSE,TRUE,8.878378378,8.878378378
10-01-2025,10-01-2025 10:30,10-01-2025 15:10,16-01-2025,23412.45,23400,23400,23400,212.8,171.2,384,184.35,139.2,0.320609497,10-01-2025 15:10,10-01-2025 15:10,FALSE,FALSE,14.42742736,14.42742736
13-01-2025,13-01-2025 10:30,13-01-2025 15:10,16-01-2025,23319.2,23300,23300,23300,178.7,141.8,320.5,59.15,255.24,-0.131001679,13-01-2025 15:10,13-01-2025 14:31,FALSE,TRUE,-5.895075546,-5.895075546
14-01-2025,14-01-2025 10:30,14-01-2025 15:10,16-01-2025,23168.8,23200,23200,23200,103.3,105,208.3,106.85,67.7,0.320872171,14-01-2025 15:10,14-01-2025 15:10,FALSE,FALSE,14.43924768,14.43924768
15-01-2025,15-01-2025 10:30,15-01-2025 15:10,16-01-2025,23234.1,23200,23200,23200,90.7,53.45,144.15,60,49.35,0.415185704,15-01-2025 15:10,15-01-2025 15:10,FALSE,FALSE,18.68335666,18.68335666
16-01-2025,16-01-2025 10:30,16-01-2025 15:10,16-01-2025,23304.9,23300,23300,23300,24.1,33.45,57.55,1.9,0.65,1.901729838,16-01-2025 15:10,16-01-2025 15:10,FALSE,FALSE,85.5778427,85.5778427
17-01-2025,17-01-2025 10:30,17-01-2025 15:10,23-01-2025,23264.15,23300,23300,23300,167.35,179.6,346.95,125.85,199.05,0.139687055,17-01-2025 15:10,17-01-2025 15:10,FALSE,FALSE,6.285917466,6.285917466
20-01-2025,20-01-2025 10:30,20-01-2025 15:10,23-01-2025,23246.9,23200,23200,23200,190.45,123.85,314.3,262.4,69.5,0.061047857,20-01-2025 15:10,20-01-2025 15:10,FALSE,FALSE,2.747153571,2.747153571
21-01-2025,21-01-2025 10:30,21-01-2025 15:10,23-01-2025,23163.5,23200,23200,23200,158.75,182.55,341.3,71.4,190.95,0.50422143,21-01-2025 15:10,21-01-2025 15:10,FALSE,FALSE,22.68996435,22.68996435
22-01-2025,22-01-2025 10:30,22-01-2025 15:10,23-01-2025,23107.7,23100,23100,23100,117.8,66.9,184.7,99.3,120.42,-0.64295416,22-01-2025 15:10,22-01-2025 12:27,FALSE,TRUE,-28.93293718,-28.93293718
23-01-2025,23-01-2025 10:30,23-01-2025 15:10,23-01-2025,23235.15,23200,23200,23200,55.3,17.6,72.9,7.75,0.3,1.84280988,23-01-2025 15:10,23-01-2025 15:10,FALSE,FALSE,82.9264446,82.9264446
24-01-2025,24-01-2025 10:30,24-01-2025 15:10,30-01-2025,23184.55,23200,23200,23200,190.9,180.95,371.85,123.05,215.95,0.161998089,24-01-2025 15:10,24-01-2025 15:10,FALSE,FALSE,7.289914008,7.289914008
